DEPADM;DepBol;NomeDepBol;codRMet;CODESC;NOMESC;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;1;115;FRANCISCO FARIA NETO PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;211
1;1;Rede Estadual;1;115;FRANCISCO FARIA NETO PROFESSOR;5º Ano EF;9;GERAL;2;MATEMÁTICA;211,5
1;1;Rede Estadual;1;127;JOSE ALTENFELDER SILVA PROFESSOR;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;193,4
1;1;Rede Estadual;1;127;JOSE ALTENFELDER SILVA PROFESSOR;3º Ano EF;9;GERAL;2;MATEMÁTICA;212,4
1;1;Rede Estadual;1;127;JOSE ALTENFELDER SILVA PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;217,8
1;1;Rede Estadual;1;127;JOSE ALTENFELDER SILVA PROFESSOR;5º Ano EF;9;GERAL;2;MATEMÁTICA;231,1
1;1;Rede Estadual;1;139;MARIANO DE OLIVEIRA PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;259,3
1;1;Rede Estadual;1;139;MARIANO DE OLIVEIRA PROFESSOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;253,6
1;1;Rede Estadual;1;139;MARIANO DE OLIVEIRA PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;290,5
1;1;Rede Estadual;1;139;MARIANO DE OLIVEIRA PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;279,1
1;1;Rede Estadual;1;140;SILVIO XAVIER ANTUNES PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;247,5
1;1;Rede Estadual;1;140;SILVIO XAVIER ANTUNES PROFESSOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;241,1
1;1;Rede Estadual;1;140;SILVIO XAVIER ANTUNES PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;290,3
1;1;Rede Estadual;1;140;SILVIO XAVIER ANTUNES PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;274,9
1;1;Rede Estadual;1;152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;184,7
1;1;Rede Estadual;1;152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;3º Ano EF;9;GERAL;2;MATEMÁTICA;189,6
1;1;Rede Estadual;1;152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;215
1;1;Rede Estadual;1;152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;5º Ano EF;9;GERAL;2;MATEMÁTICA;220,2
1;1;Rede Estadual;1;164;PIO TELLES PEIXOTO PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;224,1
1;1;Rede Estadual;1;164;PIO TELLES PEIXOTO PROFESSOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;229,7
1;1;Rede Estadual;1;164;PIO TELLES PEIXOTO PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;262,6
1;1;Rede Estadual;1;164;PIO TELLES PEIXOTO PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;258,7
1;1;Rede Estadual;1;176;ZENAIDE VILALVA DE ARAUJO PROFESSORA;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;244,4
1;1;Rede Estadual;1;176;ZENAIDE VILALVA DE ARAUJO PROFESSORA;9º Ano EF;9;GERAL;2;MATEMÁTICA;246,3
1;1;Rede Estadual;1;176;ZENAIDE VILALVA DE ARAUJO PROFESSORA;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;276,7
1;1;Rede Estadual;1;176;ZENAIDE VILALVA DE ARAUJO PROFESSORA;EM-3ª série;9;GERAL;2;MATEMÁTICA;271
1;1;Rede Estadual;1;188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;257,2
1;1;Rede Estadual;1;188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;255,3
1;1;Rede Estadual;1;188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;280,2
1;1;Rede Estadual;1;188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;276,6
1;1;Rede Estadual;1;197;AGENOR COUTO DE MAGALHAES DOUTOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;245,2
1;1;Rede Estadual;1;197;AGENOR COUTO DE MAGALHAES DOUTOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;245,7
1;1;Rede Estadual;1;197;AGENOR COUTO DE MAGALHAES DOUTOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;269,5
1;1;Rede Estadual;1;197;AGENOR COUTO DE MAGALHAES DOUTOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;263,5
1;1;Rede Estadual;1;206;ALIPIO DE BARROS PROFESSOR;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;186,2
1;1;Rede Estadual;1;206;ALIPIO DE BARROS PROFESSOR;3º Ano EF;9;GERAL;2;MATEMÁTICA;204,4
1;1;Rede Estadual;1;206;ALIPIO DE BARROS PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;226,9
1;1;Rede Estadual;1;206;ALIPIO DE BARROS PROFESSOR;5º Ano EF;9;GERAL;2;MATEMÁTICA;234,3
1;1;Rede Estadual;1;218;ANTONIO FRANCISCO REDONDO PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;267,8
1;1;Rede Estadual;1;218;ANTONIO FRANCISCO REDONDO PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;266,2
1;1;Rede Estadual;1;224;CANDIDO GONCALVES GOMIDE PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;257,3
1;1;Rede Estadual;1;224;CANDIDO GONCALVES GOMIDE PROFESSOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;255,9
1;1;Rede Estadual;1;224;CANDIDO GONCALVES GOMIDE PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;265,9
1;1;Rede Estadual;1;224;CANDIDO GONCALVES GOMIDE PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;260,6
1;1;Rede Estadual;1;231;CHIQUINHA RODRIGUES;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;184,8
1;1;Rede Estadual;1;231;CHIQUINHA RODRIGUES;3º Ano EF;9;GERAL;2;MATEMÁTICA;218,8
1;1;Rede Estadual;1;231;CHIQUINHA RODRIGUES;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;211,5
1;1;Rede Estadual;1;231;CHIQUINHA RODRIGUES;5º Ano EF;9;GERAL;2;MATEMÁTICA;222,5
1;1;Rede Estadual;1;243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;188,1
1;1;Rede Estadual;1;243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;3º Ano EF;9;GERAL;2;MATEMÁTICA;198,3
1;1;Rede Estadual;1;243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;206,4
1;1;Rede Estadual;1;243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;5º Ano EF;9;GERAL;2;MATEMÁTICA;219,6
1;1;Rede Estadual;1;255;CLODOMIRO CARNEIRO;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;231,4
1;1;Rede Estadual;1;255;CLODOMIRO CARNEIRO;9º Ano EF;9;GERAL;2;MATEMÁTICA;232,9
1;1;Rede Estadual;1;255;CLODOMIRO CARNEIRO;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;271,5
1;1;Rede Estadual;1;255;CLODOMIRO CARNEIRO;EM-3ª série;9;GERAL;2;MATEMÁTICA;258,5
1;1;Rede Estadual;1;267;ERMANO MARCHETTI;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;239,7
1;1;Rede Estadual;1;267;ERMANO MARCHETTI;9º Ano EF;9;GERAL;2;MATEMÁTICA;247,8
1;1;Rede Estadual;1;267;ERMANO MARCHETTI;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;290,2
1;1;Rede Estadual;1;267;ERMANO MARCHETTI;EM-3ª série;9;GERAL;2;MATEMÁTICA;284,7
1;1;Rede Estadual;1;279;GALDINO LOPES CHAGAS PROFESSOR;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;179,1
1;1;Rede Estadual;1;279;GALDINO LOPES CHAGAS PROFESSOR;3º Ano EF;9;GERAL;2;MATEMÁTICA;223,5
1;1;Rede Estadual;1;279;GALDINO LOPES CHAGAS PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;222,2
1;1;Rede Estadual;1;279;GALDINO LOPES CHAGAS PROFESSOR;5º Ano EF;9;GERAL;2;MATEMÁTICA;241,7
1;1;Rede Estadual;1;280;HUMBERTO DE SOUZA MELLO GENERAL;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;253,4
1;1;Rede Estadual;1;280;HUMBERTO DE SOUZA MELLO GENERAL;9º Ano EF;9;GERAL;2;MATEMÁTICA;250
1;1;Rede Estadual;1;280;HUMBERTO DE SOUZA MELLO GENERAL;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;262,8
1;1;Rede Estadual;1;280;HUMBERTO DE SOUZA MELLO GENERAL;EM-3ª série;9;GERAL;2;MATEMÁTICA;261
1;1;Rede Estadual;1;292;DALILA DE ANDRADE COSTA PROFESSORA;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;171,6
1;1;Rede Estadual;1;292;DALILA DE ANDRADE COSTA PROFESSORA;3º Ano EF;9;GERAL;2;MATEMÁTICA;187,1
1;1;Rede Estadual;1;292;DALILA DE ANDRADE COSTA PROFESSORA;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;190,4
1;1;Rede Estadual;1;292;DALILA DE ANDRADE COSTA PROFESSORA;5º Ano EF;9;GERAL;2;MATEMÁTICA;199,7
1;1;Rede Estadual;1;309;BENEDITO TOLOSA PROFESSOR;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;173,7
1;1;Rede Estadual;1;309;BENEDITO TOLOSA PROFESSOR;3º Ano EF;9;GERAL;2;MATEMÁTICA;207,4
1;1;Rede Estadual;1;309;BENEDITO TOLOSA PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;200,8
1;1;Rede Estadual;1;309;BENEDITO TOLOSA PROFESSOR;5º Ano EF;9;GERAL;2;MATEMÁTICA;208,7
1;1;Rede Estadual;1;309;BENEDITO TOLOSA PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;248,2
1;1;Rede Estadual;1;309;BENEDITO TOLOSA PROFESSOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;242,7
1;1;Rede Estadual;1;309;BENEDITO TOLOSA PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;275,9
1;1;Rede Estadual;1;309;BENEDITO TOLOSA PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;270,6
1;1;Rede Estadual;1;310;ARY BARROSO;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;176,3
1;1;Rede Estadual;1;310;ARY BARROSO;3º Ano EF;9;GERAL;2;MATEMÁTICA;206,9
1;1;Rede Estadual;1;310;ARY BARROSO;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;210,2
1;1;Rede Estadual;1;310;ARY BARROSO;5º Ano EF;9;GERAL;2;MATEMÁTICA;219,3
1;1;Rede Estadual;1;322;PEDRO MONTEIRO DO AMARAL CAPITAO;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;238,5
1;1;Rede Estadual;1;322;PEDRO MONTEIRO DO AMARAL CAPITAO;9º Ano EF;9;GERAL;2;MATEMÁTICA;246,1
1;1;Rede Estadual;1;322;PEDRO MONTEIRO DO AMARAL CAPITAO;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;289,9
1;1;Rede Estadual;1;322;PEDRO MONTEIRO DO AMARAL CAPITAO;EM-3ª série;9;GERAL;2;MATEMÁTICA;281,1
1;1;Rede Estadual;1;334;MANUEL DA NOBREGA PADRE;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;257,9
1;1;Rede Estadual;1;334;MANUEL DA NOBREGA PADRE;9º Ano EF;9;GERAL;2;MATEMÁTICA;256,5
1;1;Rede Estadual;1;334;MANUEL DA NOBREGA PADRE;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;280,2
1;1;Rede Estadual;1;334;MANUEL DA NOBREGA PADRE;EM-3ª série;9;GERAL;2;MATEMÁTICA;281,6
1;1;Rede Estadual;1;346;MANOEL DA NOBREGA PADRE;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;203,2
1;1;Rede Estadual;1;346;MANOEL DA NOBREGA PADRE;3º Ano EF;9;GERAL;2;MATEMÁTICA;226,8
1;1;Rede Estadual;1;346;MANOEL DA NOBREGA PADRE;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;226,7
1;1;Rede Estadual;1;346;MANOEL DA NOBREGA PADRE;5º Ano EF;9;GERAL;2;MATEMÁTICA;234
1;1;Rede Estadual;1;358;MATILDE MACEDO SOARES;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;186,3
1;1;Rede Estadual;1;358;MATILDE MACEDO SOARES;3º Ano EF;9;GERAL;2;MATEMÁTICA;207,5
1;1;Rede Estadual;1;358;MATILDE MACEDO SOARES;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;214
1;1;Rede Estadual;1;358;MATILDE MACEDO SOARES;5º Ano EF;9;GERAL;2;MATEMÁTICA;226,8
1;1;Rede Estadual;1;358;MATILDE MACEDO SOARES;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;236,6
1;1;Rede Estadual;1;358;MATILDE MACEDO SOARES;9º Ano EF;9;GERAL;2;MATEMÁTICA;241,3
1;1;Rede Estadual;1;361;PASQUALE PECCICACCO;3º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;181,3
1;1;Rede Estadual;1;361;PASQUALE PECCICACCO;3º Ano EF;9;GERAL;2;MATEMÁTICA;193,1
1;1;Rede Estadual;1;361;PASQUALE PECCICACCO;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;216,6
1;1;Rede Estadual;1;361;PASQUALE PECCICACCO;5º Ano EF;9;GERAL;2;MATEMÁTICA;223,2
1;1;Rede Estadual;1;371;ANTONIO JOSE LEITE PROF;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;252,8
1;1;Rede Estadual;1;371;ANTONIO JOSE LEITE PROF;9º Ano EF;9;GERAL;2;MATEMÁTICA;255,7
1;1;Rede Estadual;1;371;ANTONIO JOSE LEITE PROF;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;280,8
1;1;Rede Estadual;1;371;ANTONIO JOSE LEITE PROF;EM-3ª série;9;GERAL;2;MATEMÁTICA;272,6
1;1;Rede Estadual;1;383;ANTOINE DE SAINT EXUPERY;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;243,8
1;1;Rede Estadual;1;383;ANTOINE DE SAINT EXUPERY;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,4
1;1;Rede Estadual;1;383;ANTOINE DE SAINT EXUPERY;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;276,7
1;1;Rede Estadual;1;383;ANTOINE DE SAINT EXUPERY;EM-3ª série;9;GERAL;2;MATEMÁTICA;271,5
1;1;Rede Estadual;1;395;JOAQUIM LUIZ DE BRITO PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;253,9
1;1;Rede Estadual;1;395;JOAQUIM LUIZ DE BRITO PROFESSOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;259,7
1;1;Rede Estadual;1;395;JOAQUIM LUIZ DE BRITO PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;275,1
